$IdrinthThalui_LogPage	Like-Logs
$IdrinthThalui_LogsHeaderTime	Time
$IdrinthThalui_LogsHeaderData	Text
$IdrinthThalui_StatPage	Statistics
$IdrinthThalui_SkillsHeader	Skills
$IdrinthThalui_AttributesHeader	Attributes
$IdrinthThalui_SkillTwoHanded	Two-Handed
$IdrinthThalui_AttributeHealth	Health
$IdrinthThalui_SkillLightArmor	Light Armor
$IdrinthThalui_SkillAlteration	Alteration
$IdrinthThalui_AttributeStamina	Stamina
$IdrinthThalui_SkillRestoration	Restoration
$IdrinthThalui_SkillBlock	Block
$IdrinthThalui_AttributeMagicka	Magicka
$IdrinthThalui_AttributeArmor	Armor
$IdrinthThalui_LocationHeader	Location
$IdrinthThalui_StatusHeader	Status
$IdrinthThalui_LevelLabel	Level
$IdrinthThalui_FavorLabel	Favor
$IdrinthThalui_IsCurrentFollowerLabel	Is current Follower
$IdrinthThalui_CurrentRaceLabel	Current Race
$IdrinthThalui_LastSeenLabel	Last seen in
$IdrinthThalui_shoutsHeardHeader	Words of Power heard
$IdrinthThalui_shoutsUsedHeader	Words of Power used
$IdrinthThalui_InventoryPage	Inventory
$IdrinthThalui_InventoryHeaderArmors	Armor
$IdrinthThalui_CuirassLabel	Cuirass
$IdrinthThalui_CommentRate	Comment rate
$IdrinthThalui_GlovesLabel	Gloves
$IdrinthThalui_BootsLabel	Boots
$IdrinthThalui_InventoryHeaderWeapons	Weapons
$IdrinthThalui_SwordLabel	Greatsword
$IdrinthThalui_InventoryHeaderPotions	Potions
$IdrinthThalui_Health01PotionLabel	Health 1
$IdrinthThalui_Health02PotionLabel	Health 2
$IdrinthThalui_Health03PotionLabel	Health 3
$IdrinthThalui_Health04PotionLabel	Health 4
$IdrinthThalui_Health05PotionLabel	Health 5
$IdrinthThalui_Health06PotionLabel	Health 6
$IdrinthThalui_InventoryHeaderFood	Food
$IdrinthThalui_WolfFeedLabel	Wolf's Feed
$IdrinthThalui_BloodPotionLabel	Blood Potion
$IdrinthThalui_SettingsPage	Settings
$IdrinthThalui_xVASynth	xVASynth
$IdrinthThalui_Comments	Idrinth's Comments
$IdrinthThalui_EnableXvaSynth	Enable comments
$IdrinthThalui_Scripts	Scripts
$IdrinthThalui_DisableRedressing	Disable automatic redressing
$IdrinthThalui_Finder	Search and Find
$IdrinthThalui_EnableFinder	Enable search quest
